xxxx;;;;;;;;;;;;;;x
national_socialist_AFG;阿富汗国家主义党;Parti nationaliste afghan;Nationalistische Partei Afghanistans;;Partido Nacionalista Afgano;;;;;;;;;;x
fascistic_AFG;阿富汗法西斯主义联盟;Ligue fasciste afghane;Faschistische Liga Afghanistan;;Liga Fascista Afgana;;;;;;;;;;x
paternal_autocrat_AFG;国民革命党;Parti national r関olutionnaire;Nationale Revolutionspartei;;Partido Revolucionario Nacional;;;;;;;;;;x
social_conservative_AFG;阿富汗保守党;Parti conservateur afghan;Konservative Partei Afghanistans;;Partido Conservador Afgano;;;;;;;;;;x
market_liberal_AFG;阿富汗自由党;Parti lib閞al afghan;Liberale Partei Afghanistans;;Partido Liberal Afgano;;;;;;;;;;x
social_liberal_AFG;阿富汗社会自由党;NCPA;NCPA;;NCPA;;;;;;;;;;x
social_democrat_AFG;阿富汗社会民主党;Parti social d閙ocratique afghan;Sozialdemokratische Partei Afghanistans;;Partido Socialdem骳rata Afgano;;;;;;;;;;x
left_wing_radical_AFG;左翼激进派;RGPA;RGPA;;RGPA;;;;;;;;;;x
leninist_AFG;列宁主义者;PDPA;PDPA;;PDPA;;;;;;;;;;x
stalinist_AFG;阿富汗共产党;Parti communiste afghan;Kommunistische Partei Afghanistans;;Partido Comunista de Afganist醤;;;;;;;;;;x
national_socialist_ALB;国家社会主义;PNSh;PNSh;;PNSh;;;;;;;;;;x
fascistic_ALB;法西斯主义;PFSh;PFSh;;PFSh;;;;;;;;;;x
paternal_autocrat_ALB;独裁统治;PMSh;PMSh;;PMSh;;;;;;;;;;x
social_conservative_ALB;社会保守主义;PBKSh;PBKSh;;PBKSh;;;;;;;;;;x
market_liberal_ALB;贸易自由主义;PRSh;PRSh;;PRSh;;;;;;;;;;x
social_liberal_ALB;社会自由主义;PDSh;PDSh;;PDSh;;;;;;;;;;x
social_democrat_ALB;社会民主主义;PSSh;PSSh;;PSSh;;;;;;;;;;x
left_wing_radical_ALB;左翼激进主义;PLPSh;PLPSh;;PLPSh;;;;;;;;;;x
leninist_ALB;列宁主义;PKSh;PKSh;;PKSh;;;;;;;;;;x
stalinist_ALB;斯大林主义;PPSh;PPSh;;PPSh;;;;;;;;;;x
national_socialist_ARG;社会主义行动党;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_ARG;阿根廷正义阵线;Frente Justicialista;Frente Justicialista;;Frente Justicialista;;;;;;;;;;x
paternal_autocrat_ARG;阿根廷正义党;Partido Justicialista;Partido Justicialista,;;Partido Justicialista,;;;;;;;;;;x
social_conservative_ARG;阿根廷社会保守党;Partido Dem骳rata Cristiano;Partido Dem骳rata Cristiano;;Partido Dem骳rata Cristiano;;;;;;;;;;x
market_liberal_ARG;贸易自由派;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x
social_liberal_ARG;社会自由党;Frente para la Victoria;Frente para la Victoria;;Frente para la Victoria;;;;;;;;;;x
social_democrat_ARG;社会民主党;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x
