guiData = {
	state.visible = yes
	state.active = yes
	state.viewertag = "JAP"
	state.date = 3000
	warProgress.known = yes
	warProgress.own = 0.72
	warProgress.enemy = 0.28

	regions.1.controlledPercentage = 75.0
	regions.1.affectedPopulation = "控制人口：2297.9 万"
	regions.1.controlledPercentageText = "控制程度：75.0%"
	regions.1.remainingPopulation = "剩余人口：947.4 万"

	regions.2.controlledPercentage = 90.0
	regions.2.affectedPopulation = "控制人口：1022.3 万"
	regions.2.controlledPercentageText = "控制程度：90.0%"
	regions.2.remainingPopulation = "剩余人口：137.8 万"

	regions.3.controlledPercentage = 60.0
	regions.3.affectedPopulation = "控制人口：652.3 万"
	regions.3.controlledPercentageText = "控制程度：60.0%"
	regions.3.remainingPopulation = "剩余人口：551.9 万"

	regions.4.controlledPercentage = 0.0
	regions.4.affectedPopulation = "控制人口：0"
	regions.4.controlledPercentageText = "控制程度：0.0%"
	regions.4.remainingPopulation = "剩余人口：1338.5 万"

	regions.5.controlledPercentage = 85.0
	regions.5.affectedPopulation = "控制人口：135.9 万"
	regions.5.controlledPercentageText = "控制程度：85.0%"
	regions.5.remainingPopulation = "剩余人口：29.3 万"

	regions.6.controlledPercentage = 95.0
	regions.6.affectedPopulation = "控制人口：92.0 万"
	regions.6.controlledPercentageText = "控制程度：95.0%"
	regions.6.remainingPopulation = "剩余人口：5.8 万"

	regions.7.controlledPercentage = 90.0
	regions.7.affectedPopulation = "控制人口：591.8 万"
	regions.7.controlledPercentageText = "控制程度：90.0%"
	regions.7.remainingPopulation = "剩余人口：79.8 万"

	regions.8.controlledPercentage = 10.0
	regions.8.affectedPopulation = "控制人口：7.5 万"
	regions.8.controlledPercentageText = "控制程度：10.0%"
	regions.8.remainingPopulation = "剩余人口：112.1 万"

	regions.9.controlledPercentage = 0.0
	regions.9.affectedPopulation = "控制人口：0"
	regions.9.controlledPercentageText = "控制程度：0.0%"
	regions.9.remainingPopulation = "剩余人口：203.6 万"

	regions.10.controlledPercentage = 0.0
	regions.10.affectedPopulation = "控制人口：0"
	regions.10.controlledPercentageText = "控制程度：0.0%"
	regions.10.remainingPopulation = "剩余人口：208.4 万"

	regions.11.controlledPercentage = 0.0
	regions.11.affectedPopulation = "控制人口：0"
	regions.11.controlledPercentageText = "控制程度：0.0%"
	regions.11.remainingPopulation = "剩余人口：5367.4 万"

	regions.12.controlledPercentage = 0.0
	regions.12.affectedPopulation = "控制人口：0"
	regions.12.controlledPercentageText = "控制程度：0.0%"
	regions.12.remainingPopulation = "剩余人口：991.9 万"

	regions.13.controlledPercentage = 0.0
	regions.13.affectedPopulation = "控制人口：0"
	regions.13.controlledPercentageText = "控制程度：0.0%"
	regions.13.remainingPopulation = "剩余人口：998.6 万"

	regions.14.controlledPercentage = 0.0
	regions.14.affectedPopulation = "控制人口：0"
	regions.14.controlledPercentageText = "控制程度：0.0%"
	regions.14.remainingPopulation = "剩余人口：3141.0 万"

	regions.15.controlledPercentage = 0.0
	regions.15.affectedPopulation = "控制人口：0"
	regions.15.controlledPercentageText = "控制程度：0.0%"
	regions.15.remainingPopulation = "剩余人口：300.0 万"

	regions.16.controlledPercentage = 0.0
	regions.16.affectedPopulation = "控制人口：0"
	regions.16.controlledPercentageText = "控制程度：0.0%"
	regions.16.remainingPopulation = "剩余人口：3883.7 万"

	regions.17.controlledPercentage = 0.0
	regions.17.affectedPopulation = "控制人口：0"
	regions.17.controlledPercentageText = "控制程度：0.0%"
	regions.17.remainingPopulation = "剩余人口：1175.6 万"

	regions.18.controlledPercentage = 0.0
	regions.18.affectedPopulation = "控制人口：0"
	regions.18.controlledPercentageText = "控制程度：0.0%"
	regions.18.remainingPopulation = "剩余人口：2829.4 万"

	regions.19.controlledPercentage = 0.0
	regions.19.affectedPopulation = "控制人口：0"
	regions.19.controlledPercentageText = "控制程度：0.0%"
	regions.19.remainingPopulation = "剩余人口：4121.5 万"

	regions.20.controlledPercentage = 0.0
	regions.20.affectedPopulation = "控制人口：0"
	regions.20.controlledPercentageText = "控制程度：0.0%"
	regions.20.remainingPopulation = "剩余人口：1580.5 万"

	regions.21.controlledPercentage = 0.0
	regions.21.affectedPopulation = "控制人口：0"
	regions.21.controlledPercentageText = "控制程度：0.0%"
	regions.21.remainingPopulation = "剩余人口：2124.0 万"

	regions.22.controlledPercentage = 0.0
	regions.22.affectedPopulation = "控制人口：0"
	regions.22.controlledPercentageText = "控制程度：0.0%"
	regions.22.remainingPopulation = "剩余人口：2335.4 万"

	regions.23.controlledPercentage = 0.0
	regions.23.affectedPopulation = "控制人口：0"
	regions.23.controlledPercentageText = "控制程度：0.0%"
	regions.23.remainingPopulation = "剩余人口：3429.0 万"

	regions.24.controlledPercentage = 0.0
	regions.24.affectedPopulation = "控制人口：0"
	regions.24.controlledPercentageText = "控制程度：0.0%"
	regions.24.remainingPopulation = "剩余人口：2551.6 万"

	regions.25.controlledPercentage = 0.0
